,address,type,size,newcap,origurl,lat,long,price,commision_split,no_units,gross_rent_multiplier,lot_size,occupancy,property_subtype,additional_subtype,property_use_type,apn/parcel_id,year_built,no_stories,parking_ratio,apartment_style,listing_id,date_created,last_updated,description
36,2214 Durant Ave Berkeley CA,Multifamily,4400,4.5,https://www.loopnet.com/Listing/15930176/2214-Durant-Ave-Berkeley-CA/,37.866731,-122.26506,,2.5%,6,12.4,"4,550 SF",100%,Garden/Low-Rise,,Investment,055188701800,1914.0,3.0,,,15930176,10/06/2008,01/19/2009,"
Broker and Investor Tour on Thursday, Oct 16th, from 12 - 1 pm. Wheelhouse Investment Real Estate Brokerage has been retained as the exclusive marketing advisor of 2214 Durant Avenue in Berkeley.  This property has 6 generously sized units and a very well-maintained and landscaped backyard.  Due to the property' s proximity to UC Berkeley, the historical vacancy is low and an owner can easily attain market rents.  2214 Durant Avenue is an engaging building and has strong amenities that include: storage for every unit, on-site washer and dryer, a well-maintained roof, and classical architectural features.
2214 Durant Avenue is located one block away from UC Berkeley, within walking distance of the tremendous restaurants and shops of Downtown Berkeley, Telegraph Avenue, College Avenue.  Public transportation including BART, and many other conveniences are also steps away from 2214 Durant.  This property provides a buyer the opportunity to acquire an ideally located asset in one of the Bay Area' s strongest rental markets.
"
37,2214 Haste Street Berkeley CA,Multifamily,5229,5.0,https://www.loopnet.com/Listing/14261762/2214-Haste-Street-Berkeley-CA/,37.864965999999995,-122.26468,,2.25%,10,13.4,,100%,Garden/Low-Rise,,Investment,,1910.0,,,,14261762,07/07/2005,10/10/2005,"
TOUR on Thursday, August 11th from 11:30 - 1:00.10 unit property located near UC Berkeley campus. Please see attached marketing package for full details.
Located just 4 blocks from the UC Berkeley campus, this property is always in high demand from students and other young professionals. Also conveniently located a short walking distance from Dowtown Berkeley, Telegraph and College Avenues, and all public transportation including BART.
"
38,2231 Cedar Street Berkeley CA,Multifamily,5280,5.0,https://www.loopnet.com/Listing/16502622/2231-Cedar-Street-Berkeley-CA/,37.878995,-122.26598999999999,,2.5%,5,11.5,"5,012 SF",20%,Garden/Low-Rise,,Investment,059 -2256-015,1951.0,3.0,,,16502622,12/13/2009,04/05/2010,"
Mid-century fabulous: This renovated 5 unit building in highly desirable North Berkeley is in turn-key condition and offers everything you want in a pride of ownership building. The sellers restored the property inside and out. The units feature hardwood floors, upgraded kitchens and baths and some have fireplaces. Four of the units are vacant so you can choose your tenants and/or pick the one you want to live in.Uncommon Opportunity: Prospective owners and investors have a number of options of which to take advantage -- such as co-housing, condo conversion, home and income or simply choose your tenants and collect the rents.
Highly Desirable Neighborhood: Be close to everything; make the most of the Walk Score of 94. Conveniently located half a mile north of the UC Berkeley, near two BART stations, and a short hop from downtown, ""North Campus"" is popular with students who attend the science and engineering schools, professors, and those who dine regularly at the innovative eateries of the ""Gourmet Ghetto.""Retail is plentiful in the area and residents and visitors flock to the epicenter of epicure, the Gourmet Ghetto, home to an array of innovative restaurants. The most famous of these is Chez Panisse, Alice Waters' shrine of California Cuisine. Also in the neighborhood are wildy popular Cha-Am, The Cheese Board, Vegi Food China, the exotic produce section of Monterey Market, Andronico's market, and FatApples.
"
39,2252 Parker Street Berkeley CA,Multifamily,6600,4.5,https://www.loopnet.com/Listing/14287779/2252-Parker-Street-Berkeley-CA/,37.862449,-122.26286,,2%,12,12.93,0.15 AC,100%,Mid/High-Rise,,Investment,,1970.0,3.0,,,14287779,08/01/2005,12/27/2005,"
This exceptional investment opportunity is comprised of 12 units - all spacious 2 bedroom/1 bath units.  The property offers 12 car parking in secured garage. This outstanding South Side location boasts historically low vacancies and has maintained low maintenance costs due to the solid construction along with minimal common area space in the building.The building is individually metered for both gas and electric.  Upgrades to the property include newer gas wall heaters, new hot water heater, updated appliances, and many updated bathrooms.  Many units have their own private patios as well.This is a great opportunity for an investor to own a well-maintained apartment building in a highly sought after South Side location wich offers tremendous upside potential in the income.
This highly sought after South Campus property is centrally located within walking distance of the UC Berkeley Campus.  An ideal location for both students looking to be close to campus, as well as working professionals wanting to be within close proximity to retail shopping on both Telegraph and Shattuck Avenues.  The strong rental location is nestled in a quiet residential neighborhood that is conveniently close to public transportation and freeway access.
"
40,2283 Hearst Avenue Berkeley CA,Multifamily,10000,6.0,https://www.loopnet.com/Listing/13966479/2283-Hearst-Avenue-Berkeley-CA/,37.874747,-122.2645,,,32,10.8,,,Garden/Low-Rise,,Investment,,1959.0,2.0,,,13966479,07/15/2004,10/29/2004,"
2283 Hearst Avenue is an extremeley well located apartment property. Over the last few years the property has operated at basically a 0% vacancy rate.  The units are extremley easy to rent due to the property's proximity to campus and the building's attractiveness to students. There are 19 parking spaces and a laundry room that will provide extra income to the new owner.  Please see marketing package for more details. Seller is firm on the asking price.
Located just feet away from the UC Berkeley campus.  The property is located within walking distance of the best restaurants and shopping in Berkeley.  Property in this area of Berkeley rarely come to market.
"
41,2315 Hearst St Berkeley CA,Multifamily,1880,5.0,https://www.loopnet.com/Listing/13844210/2315-Hearst-St-Berkeley-CA/,37.874858,-122.26318,,,2,,,,Duplex/Triplex/Fourplex,,Investment,,1965.0,,,,13844210,01/26/2004,03/09/2004,"


{{ getErrorText(feedbackForm.starRating, 'rating') }}
"
42,2321 Blake St Berkeley CA,Multifamily,6600,5.0,https://www.loopnet.com/Listing/14291246/2321-Blake-St-Berkeley-CA/,37.864035,-122.26188,"$2,950,000",,6,14.88,0.15 AC,,Apartment,,,,1900.0,3.0,"1.74/1,000 SF",Low Rise,18643377,2/25/2020,,Already a member? Log In
43,2321 Blake Street Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/14467529/2321-Blake-Street-Berkeley-CA/,37.864035,-122.26188,,,5,11.77,"6,725 SF",,Garden/Low-Rise,,Investment,,1900.0,2.0,,,14467529,01/17/2006,06/05/2006,"
The subject property consists of 5 apartment units located on the South Side of the UC Berkeley Campus. There are 2 two bedroom one bath units of roughly 900 square feet, 2 studio apartments of approximately 500 square feet, and 1 one bedroom of around 600 square feet.  Multiple AC transit bus lines and the Downtown Berkeley BART stations are easily accessible.  Nearby Telegraph, College and Shattuck Avenues offer a myriad of businesses, restaurants, theaters, and shopping.  This property has been very well maintained and cared for. There is a driveway that could be converted to an off-street parking area. The apartments are separately metered for gas and electricity.
This neighborhood is populated mainly by UC Berkeley Students and other University affiliated residents, as the campus is conveniently located only five blocks away.These well-kept and attractive units are ideally located in the Southside residential district of BerkeleyThis part of Berkeley is among the most desirable neighborhoods for UC Berkeley students, professionals and commuters.
"
44,2336 Channing Way Berkeley CA,Multifamily,6600,5.0,https://www.loopnet.com/Listing/14687206/2336-Channing-Way-Berkeley-CA/,37.866285,-122.26156999999999,,2%,10,11.52,"6,750 SF",,Garden/Low-Rise,Mid/High-Rise,Investment,,1928.0,3.0,"5 / 1,000 SF",,14687206,06/30/2006,09/25/2006,"
We are proud to offer 2336 Channing Way for sale for the first time in over 25 years.  Located just 2 blocks from the University of California at Berkeley, this Pride of Ownership 10 unit apartment building consist of (2) Studios, (6) 1 Bed 1 Baths, (1), 1 Bed 2 Bath, and (1) very large 2 Bed 1 Bath.  The building is 8,823 Sq ft and sits on a 6,750 sq ft landscaped lot and includes 5 private parking spaces.  The building has undergone some seismic upgrading, features a hard-wired fire alarm, (13) fire extinguishers, updated circuit breakers, and is well lit providing safety and security for investors and tenants alike. The 3 story wood framed and stucco building has been well maintained and shows extremely well.  The property benefits from a unique layout and detailed units which has historically attracted the best tenants in the Berkeley market.  Due to the barriers of entry and its premier location, this property is well positioned to provide an investor significant rental upside and growth for many years to come.***SELLER FINANCING AVAILABLE***
2336 Channing Way is extremely well located 2 blocks from the University of California at Berkeley (CAL) and 2 blocks from the very popular Telegraph Avenue shopping District.  Telegraph Avenue is populated with many restaurants, book stores, entertainment, banks, and a good mix of national and local retailers.  Tenants enjoy the short walk to campus, BART, AC Transit, and various local attractions.  Due to the proximity to the university and Berkeley s great location near the San Francisco and Oakland Job Centers, rents have historically been the highest amongst Alameda County Cities, while vacancies have and will remain the lowest in the region.  This premier location contributes to the historically low vacancy and premier rents that properties in this location achieve.  A new owner will be positioned to continue to command the highest rents from the best tenants while maintaining low vacancies throughout.
"
45,2401 Warring St Berkeley CA,Multifamily,3520,3.5,https://www.loopnet.com/Listing/17826518/2401-Warring-St-Berkeley-CA/,37.86781,-122.25058,,,11,10.94,"3,500 SF",100%,Garden/Low-Rise,,Investment,,,,,,17826518,09/10/2012,03/18/2013,"
Former single family home converted to 11 apartments, 2 bathrooms, large kitchen.
Corner of Warring St and Channing Way, near U.C. Berkeley campus.  Offers presented as written.
"
46,2414 Dana Berkeley CA,Multifamily,3960,5.0,https://www.loopnet.com/Listing/18079206/2414-Dana-Berkeley-CA/,37.865952,-122.26122,,3%,7,12.77,0.09 AC,100%,Garden/Low-Rise,,Investment,551883005,,,,,18079206,03/18/2013,06/12/2013,"
The property, located at 2414 Dana Street is seven (7) unit apartment building located in the highly desirable South Campus Neighborhood of Berkeley, California.  The three story property was constructed in 1904 on a slab foundation, wood frame and wood exterior with a pitched roof. Legally, the property is a five unit building, however the top floor was converted from a single unit into three studios.  2414 Dana Street consists of approximately 3,380 square feet of residential living space spread out over one .09 acre parcel.  The property consists of four (4) studio units, two (2) one bedroom / one bathroom units, and one (1) two bedroom / one bathroom unit.  Amenities include on-site parking (back yard lot), beautifully landscaped grounds and walking distance to UC Berkeley."" 	Located in Berkeley' s South Campus location, a very short walk from UC Berkeley"" 	Highly desirable, spacious unit mix (4   Studios, 2   1x1, 1   2x1)"" 	Off-street parking"" 	Recently Remodeled units*CALL FOR FULL MARKETING PACKAGE*
2414 Dana Street is located in the thriving South Campus neighborhood of Berkeley, California.  Due to the property' s quality, size and location, it should continue to be an excellent cash flow vehicle for the foreseeable future.
"
47,2414 Dana St Berkeley CA,Multifamily,3960,3.5,https://www.loopnet.com/Listing/14608744/2414-Dana-St-Berkeley-CA/,37.865952,-122.26122,,,5,14.73,"4,050 SF",,Garden/Low-Rise,,Investment,,1904.0,,,,14608744,05/05/2006,09/11/2006,"
The subject property is located in the Historic South Campus district. It consists of generous sized; three 1 bedroom 1 bath apartments, one studio and one 2 bedroom 1 bath apartments.  The building and units have been well maintained and cared for.  These units are also highly desirable due to the quality of the location, proximity to the UC Berkeley campus, and the surrounding demographic of student tenants. There is good upside value that can be captured between rent vacancy and occupancy.  The result of the current owner s feasibility study indicates and opportunity to build a 12 + unit apartment building.
These well-kept units are ideally located 2.5 blocks south of the University of California campus. Multiple AC transit bus lines run nearby as well, providing easy access to Downtown Berkeley BART station, and the City of Oakland. This location boasts access to various shopping venues, popular restaurants, and entertainment venues.  This part of Berkeley is among the most desirable neighborhoods for UC Berkeley students and faculty, as well as for those commuting to Oakland or San Francisco.
"
48,2414 Dana Street Berkeley CA,Multifamily,3380,5.0,https://www.loopnet.com/Listing/14373252/2414-Dana-Street-Berkeley-CA/,37.865952,-122.26122,,2%,5,,,100%,Garden/Low-Rise,Multifamily (land),Investment,,1906.0,3.0,,,14373252,10/17/2005,03/27/2006,"
Development Opportunity! Build 12+ units adjacent to new UC Berkeley Early Childhood Development Center! The seller will consider a sizable carryback for well qualified buyer with cash down. Please call for details. Fully rented to UC Berkeley students. The annual student turnover mitigates any potential impact from rent control. Rents can be raised to market rates bringing in extra $1,000/month. Cap Rate in this description is based on pro forma numbers call listing agent for details. Please see attached file for full Investment Memorandum.
Best Berkeley location. Centered in the heart of ongoing UC Berkeley development creates a special opportunity for the value minded investor/developer.
"
49,2415 Fulton Street Berkeley CA,Multifamily,1741,6.0,https://www.loopnet.com/Listing/13960099/2415-Fulton-Street-Berkeley-CA/,37.865471,-122.26518,,,10,9.8,,,Garden/Low-Rise,,Investment,,1895.0,,,,13960099,07/07/2004,10/29/2004,"
2415 Fulton is an excellent income producing property.  This property is a 10 room rooming house located just 3 blocks south of the UC Berkeley campus. The owners have let the property go vacant, but the property was 100% occupied just two months ago.  The building gets excellent income and is an ideal rental location. The property has gone through many recent upgrades and is ready to rent.
Located just 3 blocks south of the UC Berkeley campus, and just 2 blocks from the shopping, restaraunts, and entertainment of dowtown Berkeley.  An ideal rental location for UC students and other renters.
"
50,2418 Atherton Street Berkeley CA,Multifamily,4400,7.0,https://www.loopnet.com/Listing/14328283/2418-Atherton-Street-Berkeley-CA/,37.865534000000004,-122.26466,,,7,11.61,"4,500 SF",100%,Garden/Low-Rise,,Investment,,1903.0,3.0,,,14328283,09/07/2005,10/06/2005,"
Charming 7-plex in great central Berkeley location. All units are tastefully renovated, most have hardwood floors & new appliances. Close to UC Berkeley. Great rents, seperate meters and low expenses make this a fantastic opportunity. 3 units are 2 bed/1 bath, 4 units are 1 bed/ 1 bath.
Scheduled showing times: THUR 9/8 form 11:00-1:00pm, SAT 9/10 from 10:00 - 12:00pm, TUES 9/13 from 5:00-6:00pm, SUN 9/18 form 10:00-12:00pm. Offers due 9/21.
"
51,2435 Hilgard Avenue Berkeley CA,Multifamily,7480,5.5,https://www.loopnet.com/Listing/14201273/2435-Hilgard-Avenue-Berkeley-CA/,37.878723,-122.26213999999999,,,8,11.95,0.17 AC,100%,Garden/Low-Rise,,Investment,,1956.0,2.0,,,14201273,05/05/2005,09/02/2005,"
This Well Maintained 8 unit apartment building is located in a highly sought after North Berkeley location.  The building is comprised of Two - 3 bedroom 2 baths, Two - 2 bedroom 1 bath, and Four - 1 bedroom 1 bath units with 7 car parking.  The uniquely designed units boast hardwood floors, wood burning fireplaces, high ceilings, and spacious floor plans.  These amenities coupled with the premium location have resulted in maintaining historically low vacancies and above average rents in Berkeley.  The building is individually metered for gas and electric and each unit has its own individual hot water heaters and central heating units.  Tenants enjoy the close proximity to the UC Berkeley campus and retail shops and restaurants on both Euclid Avenue and Shattuck Avenue.
The subject property is located at 2435 Hilgard Avenue between Scenic Avenue and Euclid Avenue, in the heart of one of Berkeley most desirable rental locations.  The property is only 3 blocks from the UC Berkeley campus and within close proximity to both Euclid Avenue Shopping and North Shattuck Village.  An ideal location for both students wanting to be close to the UC Berkeley campus and working professionals wanting to live within close proximity to a copious mixture of retail stores and restaurants.
"
52,2437 Dwight Way Berkeley CA,Multifamily,6600,5.0,https://www.loopnet.com/Listing/19064611/2437-Dwight-Way-Berkeley-CA/,37.865320000000004,-122.25903000000001,,2.5%,4,,"6,450 SF",,Garden/Low-Rise,,Investment,,,,,,19064611,01/22/2015,03/19/2015,"
Mixed use property with commercial space and three one bed, one bath residential units. Commercial space is occupied by highly rated Joshu-ya restaurant.
Located a few blocks south of UC Berkeley campus, this property is situated to be an excellent long term investment with great upside potential.
"
53,2442 Haste St Berkeley CA,Multifamily,6600,7.0,https://www.loopnet.com/Listing/17532732/2442-Haste-St-Berkeley-CA/,37.865683000000004,-122.2591,,,4,10.5,"6,750 SF",,Duplex/Triplex/Fourplex,,Investment,055-1881-018,1907.0,3.0,,,17532732,02/15/2012,06/24/2013,"
Well cared-for seismically retrofitted building with large units.  Separate metering for water and gas, separate unit heating and water heating, and separate billing for electric minimizes expenses.  Location allows for two-per-bedroom rental at much higher rates. With twelve parking space plus bicycle storage the property is positioned for maximal income. Spacious apartments with classic charm in a neighborhood with few comparable units. Four unit configuration presents owner-occupant opportunity for buyer.
The subject property is close to the UC Berkeley campus with excellent access to amenities on Telegraph Avenue and the surrounding area. In this location the tenant pool is extremely strong providing an owner choice of very high quality renters year-round.
"
54,2510 Bancroft Way Berkeley CA,Multifamily,0,6.5,https://www.loopnet.com/Listing/16215424/2510-Bancroft-Way-Berkeley-CA/,37.868539,-122.25887,,,46,,,,Apartment,,,,,,,Low Rise,17811282,11/25/2019,,"

"
55,2511 Hearst Ave Berkeley CA,Multifamily,7040,5.5,https://www.loopnet.com/Listing/17718673/2511-Hearst-Ave-Berkeley-CA/,37.875428,-122.25958,,3%,41,9.78,"7,000 SF",100%,Mid/High-Rise,,Investment,058-2200-007-00,,,,,17718673,06/22/2012,10/12/2012,"
The recently improved property consist of a 12 car parking garage, a bottom floor commercial space, 39 studio units of varying sizes, and a top floor penthouse unit with a rooftop deck and Bay and Golden Gate Views. The building construction is of wood frame with stucco siding and a flat roof, with parking and a commercial space on the bottom floor. The landlord pays for heating throughout the building which is accomplished with a newly replaced steam boiler. The building and grounds have undergone many new improvements (listed on the following page) which should prevent large capital expenditures for the new buyer. This Property offers an investor the opportunity to own a pride of ownership building in an  A  location that is truly one of the best in the East Bay. With many rents that are below market, the new owner should benefit from an increasing rent roll, which when combined with the unique location should provide for substantial appreciation going forward.
The subject property (2511 Hearst Avenue) is a strikingly 1920' s building located in one of the most desired locations in the city of Berkeley, across the street from the main gates of the north side of the UC Berkeley campus.  The presence of the building is well-known and hard to miss, located at the intersection of Hearst & Euclid Avenues which is one of the most well known arterial shopping and congregation hubs in the city of Berkeley. The building is located between the popular Gourmet Ghetto eateries and Etcheverry Hall, home to the School of Mechanical Engineering at UC Berkeley.  The prestigious location caters primarily to professors, grad students, and professionals, and is surrounded by quiet tree lined streets and rolling hills. Within a quick 10 minute walk tenants will find public transportation including BART, the famed Telegraph Avenue, and the Shattuck Avenue commercial corridor including multiple theaters, cafes, coffee shops, bars, clubs, and restaurants.
"
56,2511 Hearst Avenue Berkeley CA,Multifamily,15993,6.0,https://www.loopnet.com/Listing/14144626/2511-Hearst-Avenue-Berkeley-CA/,37.875428,-122.25958,,,41,,,100%,Mid/High-Rise,,Investment,,1927.0,4.0,,,14144626,03/07/2005,08/09/2005,"
Hearst Avenue Apartments is a perfectly located, beautifully maintained apartment building on the north side of the UC Berkeley campus.  The property consists of 39 studio apartment, 1 one bedroom penthouse unit, and 1  ground floor retail tenant. Please see attached marketing package for more information.
Hearst Avenue Apartments are located just feet from the UC Berkeley campus. The property is ideally located within walking distance of excellent restaraunts, shopping and all forms of transportation.  Please see attached marketing package for more information.
"
57,2517 Regent St Berkeley CA,Multifamily,8360,4.5,https://www.loopnet.com/Listing/19493600/2517-Regent-St-Berkeley-CA/,37.864575,-122.25736,,2.5%,5,14.8,0.19 AC,,Garden/Low-Rise,,Investment,55-1842-27,,,,,19493600,10/28/2015,01/12/2016,"
2517 Regent St is a renovated historic landmark building.  It is located just a couple blocks south of UC Berkeley in the Elmwood neighborhood; BART, Berkeley Bowl and Peoples Park are all within one mile.- New roof, new paint, delivered with new fire escape stairs- 3 of 5 existing units have been renovated- Huge lot: 0.19 acres- 9 existing on-site parking spaces
- Located in the Elmwood neighborhood just 4 blocks south of UC Berkeley. - 1 mile to Downtown Berkeley BART- 3 miles to some of Emeryville's largest employers: Peets, Pixar, and Novartis- 5 miles to Downtown Oakland and Lake Merritt- Within minutes of the following national retailers: Best Buy, Office Depot, Home Depot, Pottery Barn, Ikea, Target, Babies r Us, and Sports Authority.
"
58,2517 Regent Street Berkeley CA,Multifamily,8360,4.0,https://www.loopnet.com/Listing/17172166/2517-Regent-Street-Berkeley-CA/,37.864575,-122.25736,,,5,13.19,"8,300 SF",100%,Garden/Low-Rise,,Investment,,,,,,17172166,05/23/2011,10/21/2011,"
2517 Regent Street is a three-story former home converted to a five-unitapartment property located in the city of Berkeley, California on a largelot with development potential. Built in 1900, the construction is ofwood frame with wood siding and a composite shingle roof. Thebuilding contains five units, comprising of two one-bedroom/one-bathunits and three studios. All units have kitchens and bathrooms, whileone of the one-bedroom units has a second room that is currently beingused as a bedroom.The property is in good condition with historically minimal vacancy inan irreplaceable location several blocks from UC Berkeley. Additionalincome can be achieved by charging future tenants for the parkingspaces on the expansive lot as well as neighbors in surroundingbuildings that do not have on-site parking.
The subject property is ideally located on the south side of Berkeley,four blocks from the UC Berkeley campus and one block west ofTelegraph Avenue. There is a substantial potential for a student tenantbase due to the proximity of the university and the lack of affordablehousing. The lot is zoned R-3, potentially allowing for a secondapartment building to be built behind the existing building.
"
59,2518 Etna Berkeley CA,Multifamily,5280,4.5,https://www.loopnet.com/Listing/14070105/2518-Etna-Berkeley-CA/,37.864875,-122.25301,,,2,,"5,400 SF",100%,Duplex/Triplex/Fourplex,,Investment,,1908.0,2.0,"2 / 1,000 SF",,14070105,12/02/2004,05/03/2005,"
Always 100 % leased,  2 Units, Main Building + Cottage, Craftsman architecture, No deferred maintenance, two car parking, private SFR setting.  Renovated to accomodate several ""shared"" tenancies.  Bedrooms each have vanity sink, commona area kitchen, dining, living, storage, and laundry room.  Main building renovated and could be used as SFR.Main Building - 4,435 sf per tax records, 10 total rooms, 7 bedrooms, 4.5 baths.Forced Air Heat, fireplace.  Below market rents,  leased thru 7/05Zoned- RCottage- 1,450 sf per owner, 4 Total Rooms, 1 bedroom, 1.5 Baths, hotub, fireplace private deck, 1 car parking.  Leased thru 02/2006
Two blocks to Berkeley Campus. Walk to dining, entertainment, and shopping on Telegraph avenue.  Quiet residential setting.
"
60,2519 Milvia Street Berkeley CA,Multifamily,1700,5.0,https://www.loopnet.com/Listing/18175640/2519-Milvia-Street-Berkeley-CA/,37.86306,-122.26945,,,2,13.02,,,Duplex/Triplex/Fourplex,,Investment,,,,,,18175640,05/16/2013,11/15/2013,"
Two one bedroom one bath units which include two off street parking spaces for each units. Each units is separately metered for Electricity, and water is master metered. Please do not disturb the tenants and call broker for a tour.
6.5 Blocks away from BART Allston & Shattuck Station. Less than 1 mile to UC Berkeley College CampusAcross the Street from The Alta-Bates Summit Medical Center-Herrick Campus
"
61,2521 Piedmont Avenue Berkeley CA,Multifamily,9280,5.0,https://www.loopnet.com/Listing/14049017/2521-Piedmont-Avenue-Berkeley-CA/,37.865072999999995,-122.2512,,,16,11.6,,,Mid/High-Rise,,Investment,,1957.0,3.0,"12 / 1,000 SF",,14049017,11/03/2004,01/31/2005,"
The subject property is a well maintained building in the Elmwood district, one of Berkeley?s most sought after rental neighborhoods.  The building is comprised of 16 one-bedroom one-bath units with 12 secured parking spaces.  This low maintenance building has historically boasted low vacancies in a strong rental location.  The building is individually metered for gas and electric with laundry facilities on the premises.  This is a truly exceptional opportunity for an investor to purchase a low maintenance building in one of Berkeley?s strongest rental locations, with substantial upside potential.
Only blocks away from the UC Berkeley Campus!  The subject property is located in the heart of the Elmwood Neighborhood at 2521 Piedmont Avenue between Dwight Way and Parker Street.  Considered to be one of Berkeley?s most sought after rental locations.  An ideal location for students wanting to be close to the UC Berkeley campus, retail stores, and restaurants.
"
62,2525 Benvenue Ave Berkeley CA,Multifamily,7920,5.5,https://www.loopnet.com/Listing/15590907/2525-Benvenue-Ave-Berkeley-CA/,37.864645,-122.25473999999998,,2.5%,16,11.74,"7,974 SF",100%,Mid/High-Rise,,Investment,,1965.0,4.0,,,15590907,02/29/2008,07/02/2008,"
Modern 16-Unit Investment Property located on the South side of Campus, in the desirable Elmwood District. Owner-occupied since 1992 -- building has been meticulously maintained. Fabulous owners'  penthouse with private deck and expansive views. The majority of units have been remodeled upon turnover--new carpet, paint, tile/linoleum bathrooms and kitchens, new appliances and some dishwashers. · Mix of two (12) and one (3) bedroom units with Penthouse.· Owners Penthouse - 3 bedroom/2 bath: expansive views, living and dining rooms open onto large deck, awnings, secured access, washer and dryer, new carpet and tile bathrooms and kitchen.· Most units have remodeled kitchens and bathrooms.· Secured entry.· Gated 21 car parking garage with 10 secure storage lockers.· Coin-Operated On-Site Laundry (Leased).· Elevator.
Excellent Campus location - four blocks to U.C. Berkeley.
"
63,2525 Le Conte Ave Berkeley CA,Multifamily,8800,6.0,https://www.loopnet.com/Listing/16132498/2525-Le-Conte-Ave-Berkeley-CA/,37.87713,-122.26023,,,14,11.57,"8,750 SF",,Garden/Low-Rise,,Investment,0582198009,1954.0,3.0,,,16132498,03/05/2009,08/19/2009,"
14 Unit Pride of Ownership Building.
The subject property is located in North Berkeley, 2 blocks from campus and surrounded by upscale shopping and restaurants.  This area is known for extremely well kept single family residences, successful retail and some apartments.  The subject property has ample parking, is sparately metered for gas and electricity, and has been extremely well maintained and cared for.  There is immediate upside in rent.
"
64,2526 Ellsworth St Berkeley CA,Multifamily,4400,4.5,https://www.loopnet.com/Listing/16234003/2526-Ellsworth-St-Berkeley-CA/,37.863809,-122.26303,,2.25%,4,13.52,"4,250 SF",100%,Duplex/Triplex/Fourplex,,Investment,0551830004,1906.0,2.0,,,16234003,05/12/2009,07/10/2009,"
2526 Ellsworth Street is comprised of two 1-bedroom, and two 2-bedroomapartment units. The upstairs 2-bedroom unit has three additional bedrooms and one additional bathroom on the top floor which are currently not rented. These bedrooms have the potential to generate significant extra income; however a buyer will need to verify what needs to be done to legalize these rooms since they were added without permits. The property has four off-street parking spaces, in addition to a single garage structure. The gas & electric at the property are separately metered, and each unit has its own hot water heater.
2526 Ellsworth Street is located on the corner of Ellsworth and Blake Street, just 5 blocks directly south of the UC Berkeley campus. The property is ideally located for UC students and working professionals.  Tenants at the property are a short walk away from downtown Berkeley, BART, and the shopping and restaurants of Shattuck and Telegraph Avenues.  Due to property's excellent location, the units are always in high demand and receive top rents.
"
65,2530 Regent St Berkeley CA,Multifamily,4840,4.0,https://www.loopnet.com/Listing/14047248/2530-Regent-St-Berkeley-CA/,37.864041,-122.25796000000001,,,3,17.3,0.11 AC,100%,Duplex/Triplex/Fourplex,,Investment,,1906.0,2.0,,,14047248,11/01/2004,02/28/2005,"
Great brown shingle triplex in excellent location close to UC Berkeley. Exterior shows wear but units are nice with hardwood floors.  Excellent cashflow.
Telegraph to Dwight to Regent
"
66,2531 Martin Luther King Jr Way Berkeley CA,Multifamily,5280,4.0,https://www.loopnet.com/Listing/16108743/2531-Martin-Luther-King-Jr-Way-Berkeley-CA/,37.862190999999996,-122.27158999999999,,2%,6,12.93,"5,400 SF",100%,Garden/Low-Rise,,Investment,055181602000,1965.0,3.0,"5 / 1,000 SF",,16108743,02/18/2009,09/17/2009,"
2531 Martin Luther King is comprised of all large 2 bedroom apartments. The property has 6 off-street parking spaces, on-site laundry which is owned by the current owner, a small backyard, and most of the units have their own private balconies. The apartment units are large, with well laid-out floor plans. This property offers an investor a stable investment with tremendous upside potential in income.
2531 Martin Luther King is well located in an ideal rental neighborhood in central Berkeley. The property is located within 8 blocks of the UC Berkeley campus, the shops & restaurants of downtown Berkeley & Telegraph Avenue, the Downtown Berkeley BART station, all other forms of public transportation, and the Alta Bates Summit Medical Center. Tenants at the property enjoy proximity to all of these amenities, as well as quick access to the 580, 80, & 24 freeways. The property is always in high demand from tenants due to its ideal location for students & working professionals.
"
67,2532 Regent Street Berkeley CA,Multifamily,3520,5.0,https://www.loopnet.com/Listing/13978882/2532-Regent-Street-Berkeley-CA/,37.863929,-122.25795,,,4,14.4,"3,333 SF",100%,Duplex/Triplex/Fourplex,,Investment,,1903.0,,,,13978882,08/02/2004,01/18/2005,"
Prime location 4-unit in Berekley. Walk to Cal campus. Fully opccupied with strong rental history. Property is in good condition.  Student housing cash cow!!!
Walk to UC Berekley
"
68,2535 Regent St Berkeley CA,Multifamily,8108,5.0,https://www.loopnet.com/Listing/14141781/2535-Regent-St-Berkeley-CA/,37.864002,-122.25731,,,16,11.98,,94%,Garden/Low-Rise,,Investment,,9999.0,,,,14141781,03/03/2005,05/23/2005,"
16 unit apartment building located only 4 blocks from UC Berkeley campus; all studios; well maintained; filled with old world character and charm; all new electrical service recently installed including new sub-panels and meters; tenants pay PG&E; call agent for more details and showing schedule.
City of Berkeley; approx. four blocks directly south of campus
"
